variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until
R2P2_alpha_0.4,dot_product,20260528,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.0,3.1353809773921966,0.35893213748931885,0.49977394938468933,0.14129391312599182,0.4,
R2P2_alpha_0.4,dot_product,20260528,1,original,0,0.8806436264743885,0.9249999970197678,0.32499998807907104,0.9835170135064929,4,0.65,2.657640066370368,0.41122323274612427,0.46518176794052124,0.1235949918627739,0.4,
R2P2_alpha_0.4,dot_product,20260528,2,original,0,0.8343601402385008,0.9500000029802322,0.44999998807907104,0.86724891631262,4,0.6,2.2292918890714644,0.5265549421310425,0.3680456578731537,0.1053994670510292,0.4,
R2P2_alpha_0.4,dot_product,20260528,5,original,0,0.8417442805882991,0.9749999940395355,0.4749999940395355,0.821599217328803,4,0.875,0.994851219910197,0.8319689035415649,0.11728895455598831,0.05074213817715645,0.4,
R2P2_alpha_0.4,dot_product,20260528,10,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.09437698799883946,0.9661245942115784,0.020273130387067795,0.013602267019450665,0.4,
R2P2_alpha_0.4,dot_product,20260528,20,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.0161205800017342,0.996850848197937,0.0018405081937089562,0.0013086487306281924,0.4,
R2P2_alpha_0.4,dot_product,20260528,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.0041196729289367795,0.9972732663154602,0.0013302098959684372,0.0013965993421152234,0.4,
R2P2_alpha_0.4,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.6383647400507472e-05,0.9996830224990845,0.00015472827362827957,0.00016238032549154013,0.4,
R2P2_alpha_0.6,dot_product,20260521,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.225,3.431849205493927,0.16776642203330994,0.7427613139152527,0.0894722267985344,0.6,
R2P2_alpha_0.6,dot_product,20260521,1,original,0,0.6875415367403965,0.7750000059604645,0.4749999940395355,0.8978476395975038,4,0.25,2.9613581240177154,0.2063937485218048,0.6854482293128967,0.1081581860780716,0.6,
R2P2_alpha_0.6,dot_product,20260521,2,original,0,0.5965512101796101,0.9000000059604645,0.6499999761581421,0.6680801079146729,4,0.3,2.596720892190933,0.2794744372367859,0.5953612327575684,0.12516433000564575,0.6,
