layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
15,eigen_floor_1e-04,0.007702859580413316,,,0.013516698908127563,-0.0033852569346741
15,calibration_half0_basis,0.007702859580413316,0.017971171422043415,-0.011800251876234695,,
15,calibration_half1_basis,0.007702859580413316,0.010491270495241812,0.008511022215008605,,
15,wrong_layer_basis_33,0.007702859580413316,0.0005169665342328295,0.023613007311955495,,
16,length_template_bundle_residualized,0.3904255717466466,0.01625077822397039,-0.004951746211095956,,
16,eigen_floor_1e-06,0.006540604339668322,,,0.02598534454490957,-0.017640848810741797
16,eigen_floor_1e-05,0.006540604339668322,,,0.011549940970165136,-0.014995924813243185
16,eigen_floor_1e-04,0.006540604339668322,,,0.020367029485947572,-0.0059864107676807264
16,calibration_half0_basis,0.006540604339668322,0.007253462643480383,0.006688637969534953,,
16,calibration_half1_basis,0.006540604339668322,0.02361328817712078,-0.008379267054537788,,
16,wrong_layer_basis_34,0.006540604339668322,-0.001576463309027461,0.022863792602359725,,
17,length_template_bundle_residualized,0.4067315703446492,-0.007909274239181655,0.059204839429688405,,
17,eigen_floor_1e-06,0.031246181010415562,,,-0.024617813031676705,0.027703427938540953
17,eigen_floor_1e-05,0.031246181010415562,,,-0.017064082751932774,0.04586959164684475
17,eigen_floor_1e-04,0.031246181010415562,,,-0.006360551413646443,0.056573122985131105
17,calibration_half0_basis,0.031246181010415562,-0.011968010850496843,0.06169649276514881,,
17,calibration_half1_basis,0.031246181010415562,0.0007837448100260597,0.05317873804520727,,
17,wrong_layer_basis_35,0.031246181010415562,0.0033332255439519998,0.021385364171603298,,
18,length_template_bundle_residualized,0.3909132565533144,-0.017072912064817945,0.0491348950729882,,
18,eigen_floor_1e-06,0.009902536354720387,,,-0.0345738112153328,0.03240842280548064
18,eigen_floor_1e-05,0.009902536354720387,,,-0.021983613257079853,0.045131203750721646
18,eigen_floor_1e-04,0.009902536354720387,,,-0.014692216752255714,0.052422600255546035
18,calibration_half0_basis,0.009902536354720387,-0.020547790660077492,0.046678875901331934,,
18,calibration_half1_basis,0.009902536354720387,-0.01794534090045223,0.0522706658791187,,
18,wrong_layer_basis_36,0.009902536354720387,0.0055954845124991095,-0.0004988420119684178,,
19,length_template_bundle_residualized,0.3833086857528817,-0.009827748919402333,0.03897251476771907,,
19,eigen_floor_1e-06,0.0013194828122151218,,,-0.023398590609836872,0.017229872352950794
19,eigen_floor_1e-05,0.0013194828122151218,,,-0.017580477493600685,0.030259364349417697
19,eigen_floor_1e-04,0.0013194828122151218,,,-0.005540645133885822,0.04229307194107143
19,calibration_half0_basis,0.0013194828122151218,-0.01296574303998781,0.05326752589610033,,
19,calibration_half1_basis,0.0013194828122151218,0.013878889141708678,0.02610497582175664,,
19,wrong_layer_basis_0,0.0013194828122151218,-0.0023386022045908347,-0.0006144393520518455,,
20,length_template_bundle_residualized,0.38604325250633115,-0.0046498501841061995,0.06482509924542082,,
20,eigen_floor_1e-06,0.0035366176079837308,,,-0.035328803422795645,0.02196204298641069
